dataset,Accuracy %,Precision %,Recall %,f1 %
zoo,80.95,77.27272727272728,68.33333333333333,72.52861602497397
iris,96.67,97.61904761904762,94.44444444444446,96.00550964187327
wine,91.67,91.07142857142857,93.75,92.39130434782608
cmc,47.12,46.81456775149922,47.24748140982422,47.03002835403666
crx,77.54,79.79632889112396,75.32051282051282,77.49384717936623
german,73.0,66.66666666666667,65.17727051966973,65.91355599214145
krkopt,36.53,36.541165743377185,30.81462100383499,33.43445983776861
