dataset,Accuracy %,Precision %,Recall %,f1 %
zoo,100.0,100.0,100.0,100.0
iris,93.33333333333333,93.93939393939394,95.55555555555556,94.7405828002843
wine,83.33333333333334,83.75,84.02777777777779,83.88865894039736
cmc,46.101694915254235,46.39907850434166,46.98607781730075,46.690733284146006
crx,78.26086956521739,78.67398648648648,78.67398648648648,78.67398648648648
